DateTime,Hour,DayOfWeek,Month,Temperature,Humidity,Rainfall,WindSpeed,AQI,Demand
2022-01-01 00:00:00,0,5,1,12.1,100,0.0,1.7,319.0,1200.0
2022-01-01 01:00:00,1,5,1,8.5,100,0.0,2.3,278.0,1200.0
2022-01-01 02:00:00,2,5,1,8.4,100,0.0,7.8,285.0,1200.0
2022-01-01 03:00:00,3,5,1,11.1,100,0.0,4.2,252.0,1470.92
2022-01-01 04:00:00,4,5,1,10.7,100,0.0,1.9,324.0,1401.24
2022-01-01 05:00:00,5,5,1,15.0,100,0.0,5.0,255.0,2300.49
2022-01-01 06:00:00,6,5,1,15.6,100,0.0,1.3,183.0,2533.22
2022-01-01 07:00:00,7,5,1,15.6,100,0.0,3.1,167.0,2775.15
2022-01-01 08:00:00,8,5,1,17.0,100,0.0,6.5,211.0,3568.72
2022-01-01 09:00:00,9,5,1,21.5,100,0.19,3.3,223.0,3991.81
2022-01-01 10:00:00,10,5,1,22.8,100,0.0,8.5,176.0,4056.62
2022-01-01 11:00:00,11,5,1,22.0,100,0.0,9.7,201.0,4511.18
2022-01-01 12:00:00,12,5,1,17.8,100,0.0,15.4,238.0,4240.74
2022-01-01 13:00:00,13,5,1,16.9,100,0.47,13.1,231.0,4253.88
2022-01-01 14:00:00,14,5,1,15.6,100,0.0,9.6,166.0,3890.57
2022-01-01 15:00:00,15,5,1,16.7,100,0.0,11.1,156.0,3598.88
2022-01-01 16:00:00,16,5,1,14.9,100,0.0,14.1,200.0,3113.28
2022-01-01 17:00:00,17,5,1,14.0,100,0.54,2.7,217.0,2990.85
2022-01-01 18:00:00,18,5,1,12.2,100,0.0,6.7,230.0,2269.71
2022-01-01 19:00:00,19,5,1,12.7,100,0.0,4.6,173.0,2104.04
2022-01-01 20:00:00,20,5,1,10.1,100,0.0,6.1,171.0,1571.28
2022-01-01 21:00:00,21,5,1,5.5,100,0.0,2.7,159.0,1200.0
2022-01-01 22:00:00,22,5,1,8.6,100,0.0,7.0,311.0,1200.0
2022-01-01 23:00:00,23,5,1,12.0,100,0.62,7.6,396.0,1200.0
2022-01-02 00:00:00,0,6,1,7.4,100,0.0,2.7,299.0,1200.0
2022-01-02 01:00:00,1,6,1,11.7,100,0.0,5.5,288.0,1200.0
2022-01-02 02:00:00,2,6,1,10.7,100,0.0,5.0,324.0,1200.0
2022-01-02 03:00:00,3,6,1,8.7,100,0.0,4.3,292.0,1330.24
2022-01-02 04:00:00,4,6,1,15.3,100,0.0,7.0,294.0,1767.96
2022-01-02 05:00:00,5,6,1,14.0,100,0.0,7.5,261.0,1996.38
2022-01-02 06:00:00,6,6,1,15.5,100,0.0,2.0,221.0,2595.21
2022-01-02 07:00:00,7,6,1,14.7,100,0.0,5.4,169.0,2750.64
2022-01-02 08:00:00,8,6,1,17.5,100,0.62,3.3,166.0,3616.21
2022-01-02 09:00:00,9,6,1,22.0,100,0.0,1.9,202.0,4070.79
2022-01-02 10:00:00,10,6,1,16.2,100,0.0,14.6,223.0,4098.54
2022-01-02 11:00:00,11,6,1,20.8,100,0.0,5.4,246.0,4420.95
